v,comuna,manzana,predio,rol,_ok,_status,nombreComuna,direccion_sii,lat,lon,valorTotal,valorAfecto,valorExento,supTerreno,supConsMt2,supConsMt3,valorComercial_clp_m2,txt_direccion,txt_avaluo_total,txt_avaluo_exento,txt_cuota_trimestral,txt_serie,txt_ind_aseo,txt_anio_term_exencion,txt_cod_ubicacion,txt_cod_destino,_extra_json,ah,ah_coefVariacion,ah_eac,ah_eacano,ah_mediana,ah_numeroMuestras,ah_rangoSuperficie,ah_utm_x,ah_utm_y,ah_valorUnitario,cap__observatorio_de_mercado_de_suelo_urbano_2025__comuna,cap__observatorio_de_mercado_de_suelo_urbano_2025__código_área_homogénea,cap__observatorio_de_mercado_de_suelo_urbano_2025__región,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_bodega,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_comercio,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_estacionamiento,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_industria,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_oficina,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_sitio_eriazo,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_habitacional_casa,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_habitacional_departamento,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_otros_destinos,cap__observatorio_de_mercado_de_suelo_urbano_2025__valor_comercial_m²_de_suelo,cap__áreas_homogéneas_rav_sne_2025__código_área_homogénea,cap__áreas_homogéneas_rav_sne_2025__código_área_homogénea__2,cap__áreas_homogéneas_rav_sne_2025__rango_superficie_predial_en_m²,cap__áreas_homogéneas_rav_sne_2025__rango_superficie_predial_en_m²__2,cap__áreas_homogéneas_rav_sne_2025__valor_m²_de_terreno,cap__áreas_homogéneas_rav_sne_2025__valor_m²_de_terreno__2,destinoDescripcion,eacano,eacs,eacsDescripcion,existePredio,medidaSup,medidaSupConst,obs_codigo_area_homogenea,obs_comuna,obs_region,obs_tx_destino_bodega,obs_tx_destino_comercio,obs_tx_destino_estacionamiento,obs_tx_destino_industria,obs_tx_destino_oficina,obs_tx_destino_sitio_eriazo,obs_tx_habitacional_casa,obs_tx_habitacional_departamento,obs_tx_otros_destinos,obs_valor_comercial_m2_suelo,periodo,predioPublicado_comuna,predioPublicado_id,predioPublicado_manzana,predioPublicado_predio,predioPublicado_utm_x,predioPublicado_utm_y,rangoSuperficie,sector,tablaOrigen,ubicacion,_poly_idx,_match_method,pol_area_m2,dc_contribucion_semestral,dc_cod_destino,dc_avaluo_fiscal,dc_avaluo_exento,dc_sup_terreno,dc_cod_ubicacion,dc_direccion,dc_bc1_comuna,dc_bc1_manzana,dc_bc1_predio,dc_bc2_comuna,dc_bc2_manzana,dc_bc2_predio,dc_padre_comuna,dc_padre_manzana,dc_padre_predio,n_lineas_construccion,sup_construida_total,anio_construccion_min,anio_construccion_max,materiales,calidades,pisos_max,serie
16106|05634|00010,16106,5634,10,05634-00010,TRUE,200,SAN MIGUEL,VARGAS BUSTON 569 BRASILIA,-33.509992,-70.641757,50332808,0,50332808,0,0,0,156136,VARGAS BUSTON 569,49588970,49588970,0,FALSE,,0,U,H,,HBB061,0,14,2022,0,0,150 - 190,347562.0251,6291052.229,123768,SAN MIGUEL,HBB061,XIII Región Metropolitana,0,1,0,0,0,1,45,0,1,"6,93 UF",HBB061,, 150 - 190  m²,,156.14,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB061,SAN MIGUEL,XIII Región Metropolitana,0,1,0,0,0,1,45,0,1,"6,93 UF",PRIMER SEMESTRE DE 2026,16106,127540171,5634,10,347514.1383,6290966.662,150 - 190,0,PREDIOS_NACIONAL,URBANA,11724,1_contains,201.6602301,0,H,49588970,49588970,166,U,VARGAS BUSTON 569,0,0,0,0,0,0,0,0,0,2,114,1978,1978,C,4,1,FALSE
16106|05270|00031,16106,5270,31,05270-00031,TRUE,200,SAN MIGUEL,PASAJE 1 5419 DP 4 C SAN MIGUEL,,,11901038,0,11901038,0,0,0,,PASAJE 1 5419 DP 4 C,11725160,11725160,0,FALSE,,0,U,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,,,,,,,,,,,,,,PRIMER SEMESTRE DE 2026,,,,,,,,0,PREDIOS_NACIONAL,URBANA,,,,0,H,11725160,11725160,0,U,PASAJE 1 5419 DP 4 C,0,0,0,0,0,0,0,0,0,1,55,1960,1960,B,4,4,FALSE
16106|06338|00025,16106,6338,25,06338-00025,TRUE,200,SAN MIGUEL,V DEL CAMPO 6240 ,-33.515192,-70.643545,43428705,0,43428705,0,0,0,144871,V DEL CAMPO 6240,42786899,42786899,0,FALSE,,0,U,H,,HBB040,0,14,2022,0,0,130 - 270,347090.5507,6290883.463,114838,SAN MIGUEL,HBB040,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",HBB040,, 130 - 270  m²,,144.88,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB040,SAN MIGUEL,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",PRIMER SEMESTRE DE 2026,16106,127528747,6338,25,347357.1123,6290387.381,130 - 270,0,PREDIOS_NACIONAL,URBANA,14695,1_contains,375.0594995,0,H,42786899,42786899,272,U,V DEL CAMPO 6240,0,0,0,0,0,0,0,0,0,2,70,1968,1968,C|E,5,1,FALSE
16106|05629|00105,16106,5629,105,05629-00105,TRUE,200,SAN MIGUEL,PJE STA FELISA 5764 ,-33.50966,-70.639203,22896328,0,22896328,0,0,0,156136,PJE STA FELISA 5764,22557957,22557957,0,FALSE,,0,U,H,,HBB061,0,14,2022,0,0,150 - 190,347562.0251,6291052.229,123768,SAN MIGUEL,HBB061,XIII Región Metropolitana,0,1,0,0,0,1,45,0,1,"6,93 UF",HBB061,, 150 - 190  m²,,156.14,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB061,SAN MIGUEL,XIII Región Metropolitana,0,1,0,0,0,1,45,0,1,"6,93 UF",PRIMER SEMESTRE DE 2026,16106,127546841,5629,105,347750.7704,6291007.239,150 - 190,0,PREDIOS_NACIONAL,URBANA,11383,1_contains,189.9814104,0,H,22557957,22557957,133,U,PJE STA FELISA 5764,0,0,0,0,0,0,0,0,0,1,40,1970,1970,E,5,1,FALSE
16106|00640|00018,16106,640,18,00640-00018,TRUE,200,SAN MIGUEL,SILVA 726 ,-33.477818,-70.642224,20941163,0,20941163,0,0,0,194438,SILVA 726,20631687,20631687,0,FALSE,,0,U,H,,XBB002,0,14,2022,0,0,70 - 540,347191.8571,6294186.226,154130,SAN MIGUEL,XBB002,XIII Región Metropolitana,350,8,279,7,1,1,17,439,4,"8,63 UF",XBB002,, 70 - 540  m²,,194.44,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,XBB002,SAN MIGUEL,XIII Región Metropolitana,350,8,279,7,1,1,17,439,4,"8,63 UF",PRIMER SEMESTRE DE 2026,16106,127526697,640,18,347414.281,6294533.606,70 - 540,0,PREDIOS_NACIONAL,URBANA,98,1_contains,195.597942,0,H,20631687,20631687,108,U,SILVA 726,0,0,0,0,0,0,0,0,0,2,56,1930,1940,E|F,5,1,FALSE
16106|05538|00017,16106,5538,17,05538-00017,TRUE,200,SAN MIGUEL,ESMERALDA 5666 ,-33.508206,-70.6433,44455152,0,44455152,0,0,0,144871,ESMERALDA 5666,43798177,43798177,0,FALSE,,0,U,H,,HBB040,0,14,2022,0,0,130 - 270,347090.5507,6290883.463,114838,SAN MIGUEL,HBB040,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",HBB040,, 130 - 270  m²,,144.88,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB040,SAN MIGUEL,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",PRIMER SEMESTRE DE 2026,16106,127533757,5538,17,347367.6565,6291162.428,130 - 270,0,PREDIOS_NACIONAL,URBANA,10334,1_contains,470.3622342,0,H,43798177,43798177,349,U,ESMERALDA 5666,0,0,0,0,0,0,0,0,0,3,142,1940,1974,C|E|F,4|5,1,FALSE
16106|01843|00014,16106,1843,14,01843-00014,TRUE,200,SAN MIGUEL,CARNOT 850 ,-33.48154,-70.643953,47165022,0,47165022,0,0,0,194438,CARNOT 850,46467999,46467999,0,FALSE,,0,U,H,,XBB002,0,14,2022,0,0,70 - 540,347191.8571,6294186.226,154130,SAN MIGUEL,XBB002,XIII Región Metropolitana,350,8,279,7,1,1,17,439,4,"8,63 UF",XBB002,, 70 - 540  m²,,194.44,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,XBB002,SAN MIGUEL,XIII Región Metropolitana,350,8,279,7,1,1,17,439,4,"8,63 UF",PRIMER SEMESTRE DE 2026,16106,127535045,1843,14,347260.181,6294118.342,70 - 540,0,PREDIOS_NACIONAL,URBANA,1018,1_contains,278.6869492,0,H,46467999,46467999,194,U,CARNOT 850,0,0,0,0,0,0,0,0,0,1,91,1933,1933,C,4,1,FALSE
16106|03943|00007,16106,3943,7,03943-00007,TRUE,200,SAN MIGUEL,GASPAR DE SOTO 755 PB GERMANIA,-33.495009,-70.644403,38946348,0,38946348,0,0,0,184750,GASPAR DE SOTO 755,38370784,38370784,0,FALSE,,0,U,H,,HBB021,0,14,2022,0,0,100 - 360,347273.2335,6292633.425,146450,SAN MIGUEL,HBB021,XIII Región Metropolitana,65,3,98,7,7,0,63,166,2,"8,2 UF",HBB021,, 100 - 360  m²,,184.75,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB021,SAN MIGUEL,XIII Región Metropolitana,65,3,98,7,7,0,63,166,2,"8,2 UF",PRIMER SEMESTRE DE 2026,16106,127535655,3943,7,347242.0025,6292624.137,100 - 360,0,PREDIOS_NACIONAL,URBANA,4348,1_contains,237.9448073,0,H,38370784,38370784,172,U,GASPAR DE SOTO 755,0,0,0,0,0,0,0,0,0,2,87,1977,1980,E,4|5,1,FALSE
16106|05261|00001,16106,5261,1,05261-00001,TRUE,200,SAN MIGUEL,PASAJE 3 5394 DP 101 SAN MIGUEL,,,14930393,0,14930393,0,0,0,,PASAJE 3 5394 DP 101,14709746,14709746,0,FALSE,,0,U,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,,,,,,,,,,,,,,PRIMER SEMESTRE DE 2026,,,,,,,,0,PREDIOS_NACIONAL,URBANA,,,,0,H,14709746,14709746,0,U,PASAJE 3 5394 DP 101,0,0,0,0,0,0,0,0,0,1,69,1960,1960,B,4,4,FALSE
16106|04942|00009,16106,4942,9,04942-00009,TRUE,200,SAN MIGUEL,PIRAMIDE 735 LA PIRAMIDE,-33.502856,-70.644388,149811868,149811868,0,0,0,0,211561,PIRAMIDE 735,147597891,0,393718,FALSE,,0,U,C,,HMB030,0,14,2022,0,0,150 - 460,347180.8841,6291694.584,167703,SAN MIGUEL,HMB030,XIII Región Metropolitana,62,3,52,6,0,0,55,439,0,"9,39 UF",HMB030,, 150 - 460  m²,,211.57,,COMERCIO,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMB030,SAN MIGUEL,XIII Región Metropolitana,62,3,52,6,0,0,55,439,0,"9,39 UF",PRIMER SEMESTRE DE 2026,16106,127543579,4942,9,347257.1309,6291754.037,150 - 460,0,PREDIOS_NACIONAL,URBANA,7517,1_contains,390.3935223,787436,C,147597891,0,284,U,PIRAMIDE 735,0,0,0,0,0,0,0,0,0,3,365,1954,1954,C|GE,3,2,FALSE
